자치구,행정동,기준_법정동,표본수_추정,공시_㎡당_만원_가중,유효투표수,정원오_양자%,오세훈_양자%,우세후보,평당_만원
강남구,개포1동,개포동,6492.0,1839.0,13962,28.1,71.9,오세훈,6080.0
강남구,개포2동,개포동+일원동,6177.0,1800.0,18018,27.9,72.1,오세훈,5949.0
강남구,개포3동,일원동+대치동,5015.0,1763.0,8565,35.4,64.6,오세훈,5829.0
강남구,개포4동,개포동,5881.0,1839.0,11276,38.3,61.7,오세훈,6080.0
강남구,논현1동,논현동,6590.0,840.0,7786,37.7,62.3,오세훈,2775.0
강남구,논현2동,논현동,7637.0,840.0,8261,30.5,69.5,오세훈,2775.0
강남구,대치1동,대치동,5152.0,2075.0,11111,19.1,80.9,오세훈,6859.0
강남구,대치2동,대치동,12934.0,2075.0,17806,23.4,76.6,오세훈,6859.0
강남구,대치4동,대치동,4533.0,2075.0,7661,39.8,60.2,오세훈,6859.0
강남구,도곡1동,도곡동,8189.0,1635.0,10485,31.5,68.5,오세훈,5404.0
강남구,도곡2동,도곡동,8253.0,1635.0,14779,19.5,80.5,오세훈,5404.0
강남구,삼성1동,삼성동,8525.0,1435.0,6220,24.8,75.2,오세훈,4745.0
강남구,삼성2동,삼성동,5658.0,1435.0,13974,29.9,70.1,오세훈,4745.0
강남구,세곡동,자곡동+세곡동,13232.0,1085.0,22044,45.5,54.5,오세훈,3586.0
강남구,수서동,수서동,6002.0,1293.0,7945,39.4,60.6,오세훈,4274.0
강남구,신사동,압구정동+신사동,4945.0,2391.0,7568,21.6,78.4,오세훈,7906.0
강남구,압구정동,압구정동+신사동,7005.0,2488.0,12688,14.0,86.0,오세훈,8223.0
강남구,역삼1동,역삼동,15368.0,857.0,12714,39.2,60.8,오세훈,2834.0
강남구,역삼2동,역삼동,7327.0,857.0,15904,32.9,67.1,오세훈,2834.0
강남구,일원1동,일원동+수서동,4357.0,1527.0,6828,41.4,58.6,오세훈,5046.0
강남구,일원본동,일원동+수서동,10623.0,1484.0,11488,35.0,65.0,오세훈,4905.0
강남구,청담동,청담동,8087.0,1362.0,11999,23.0,77.0,오세훈,4503.0
강동구,강일동,강일동,10592.0,774.0,17541,54.4,45.6,정원오,2557.0
강동구,고덕제1동,고덕동,6000.0,1264.0,11577,46.1,53.9,오세훈,4180.0
강동구,고덕제2동,고덕동+강일동,10178.0,1193.0,12458,42.0,58.0,오세훈,3945.0
강동구,길동,길동,14296.0,532.0,22690,47.7,52.3,오세훈,1759.0
강동구,둔촌제1동,둔촌동,2828.0,680.0,18429,35.1,64.9,오세훈,2249.0
강동구,둔촌제2동,둔촌동,4893.0,680.0,13098,45.7,54.3,오세훈,2249.0
강동구,명일제1동,명일동,4835.0,926.0,12901,41.1,58.9,오세훈,3060.0
강동구,명일제2동,명일동,6985.0,926.0,8891,39.7,60.3,오세훈,3060.0
강동구,상일제1동,상일동,11714.0,1077.0,19335,43.9,56.1,오세훈,3559.0
강동구,상일제2동,상일동+강일동,6589.0,1014.0,6469,56.1,43.9,정원오,3352.0
강동구,성내제1동,성내동,6333.0,571.0,9820,48.4,51.6,오세훈,1886.0
강동구,성내제2동,성내동,5983.0,571.0,11994,49.1,50.9,오세훈,1886.0
강동구,성내제3동,성내동,6218.0,571.0,11230,50.7,49.3,정원오,1886.0
강동구,암사제1동,암사동,3052.0,738.0,15007,50.0,50.0,오세훈,2438.0
강동구,암사제2동,암사동,8981.0,738.0,8854,47.3,52.7,오세훈,2438.0
강동구,암사제3동,암사동,7425.0,738.0,9646,44.7,55.3,오세훈,2438.0
강동구,천호제1동,천호동,5029.0,562.0,11675,49.9,50.1,오세훈,1857.0
강동구,천호제2동,천호동,13116.0,562.0,17120,48.3,51.7,오세훈,1857.0
강동구,천호제3동,천호동,3844.0,562.0,12716,46.4,53.6,오세훈,1857.0
강북구,미아동,미아동,5622.0,456.0,10336,56.1,43.9,정원오,1508.0
강북구,번1동,번동,3791.0,437.0,7839,54.7,45.3,정원오,1446.0
강북구,번2동,번동,6197.0,437.0,6961,53.6,46.4,정원오,1446.0
강북구,번3동,번동,6737.0,437.0,7929,52.4,47.6,정원오,1446.0
강북구,삼각산동,미아동,4008.0,456.0,15024,54.8,45.2,정원오,1508.0
강북구,삼양동,미아동,6285.0,456.0,11358,54.9,45.1,정원오,1508.0
강북구,송중동,미아동,7143.0,456.0,12236,51.7,48.3,정원오,1508.0
강북구,송천동,미아동,6371.0,456.0,11229,54.1,45.9,정원오,1508.0
강북구,수유1동,수유동,6180.0,266.0,8935,56.7,43.3,정원오,879.0
강북구,수유2동,수유동,2191.0,266.0,9954,51.9,48.1,정원오,879.0
강북구,수유3동,수유동,2648.0,266.0,9303,51.8,48.2,정원오,879.0
강북구,우이동,수유동+우이동,9830.0,254.0,9331,54.6,45.4,정원오,840.0
강북구,인수동,수유동,10396.0,266.0,12583,54.5,45.5,정원오,879.0
강서구,가양제1동,마곡동+가양동,26938.0,825.0,15094,46.1,53.9,오세훈,2727.0
강서구,가양제2동,가양동,3680.0,644.0,7841,48.8,51.2,오세훈,2129.0
강서구,가양제3동,가양동,3078.0,644.0,7911,49.0,51.0,오세훈,2129.0
강서구,공항동,공항동,4110.0,413.0,12943,53.1,46.9,정원오,1365.0
강서구,등촌제1동,등촌동,6587.0,617.0,12184,50.5,49.5,정원오,2041.0
강서구,등촌제2동,등촌동,8834.0,617.0,9643,48.1,51.9,오세훈,2041.0
강서구,등촌제3동,등촌동,10356.0,617.0,15418,49.3,50.7,오세훈,2041.0
강서구,발산제1동,내발산동+외발산동,10240.0,656.0,17406,57.5,42.5,정원오,2168.0
강서구,방화제1동,방화동+마곡동,6234.0,646.0,20129,50.9,49.1,정원오,2134.0
강서구,방화제2동,방화동+개화동,5812.0,560.0,11330,49.6,50.4,오세훈,1852.0
강서구,방화제3동,방화동,10959.0,562.0,11487,49.5,50.5,오세훈,1856.0
강서구,염창동,염창동,13238.0,682.0,20842,51.3,48.7,정원오,2254.0
강서구,우장산동,화곡동+내발산동,12960.0,454.0,19571,48.3,51.7,오세훈,1500.0
강서구,화곡본동,화곡동,11480.0,327.0,13067,56.3,43.7,정원오,1080.0
강서구,화곡제1동,화곡동,13898.0,327.0,20060,53.7,46.3,정원오,1080.0
강서구,화곡제2동,화곡동,5347.0,327.0,7323,56.7,43.3,정원오,1080.0
강서구,화곡제3동,화곡동,6042.0,327.0,10686,47.6,52.4,오세훈,1080.0
강서구,화곡제4동,화곡동,9942.0,327.0,8878,56.3,43.7,정원오,1080.0
강서구,화곡제6동,화곡동,12067.0,327.0,12544,51.3,48.7,정원오,1080.0
강서구,화곡제8동,화곡동,6729.0,327.0,11500,59.1,40.9,정원오,1080.0
관악구,낙성대동,봉천동,13042.0,554.0,8230,49.3,50.7,오세훈,1832.0
관악구,난곡동,신림동,2774.0,446.0,11062,56.2,43.8,정원오,1475.0
관악구,난향동,신림동,2107.0,446.0,7327,55.8,44.2,정원오,1475.0
관악구,남현동,남현동+봉천동,6536.0,515.0,8827,49.4,50.6,오세훈,1703.0
관악구,대학동,신림동,22859.0,446.0,11168,50.7,49.3,정원오,1475.0
관악구,미성동,신림동,3625.0,446.0,13735,51.3,48.7,정원오,1475.0
관악구,보라매동,봉천동,4350.0,554.0,10935,53.1,46.9,정원오,1832.0
관악구,삼성동,신림동,7059.0,446.0,10737,54.3,45.7,정원오,1475.0
