자치구,행정동,기준_법정동,표본수_추정,전세_㎡당보증금_중위만원_가중,유효투표수,정원오_양자%,오세훈_양자%,우세후보,평당_만원
강남구,개포1동,개포동,519.0,1145.0,13962,28.1,71.9,오세훈,3786.0
강남구,개포2동,개포동+일원동,472.0,1138.0,18018,27.9,72.1,오세훈,3761.0
강남구,개포3동,일원동+대치동,334.0,1094.0,8565,35.4,64.6,오세훈,3615.0
강남구,개포4동,개포동,470.0,1145.0,11276,38.3,61.7,오세훈,3786.0
강남구,논현1동,논현동,188.0,1035.0,7786,37.7,62.3,오세훈,3423.0
강남구,논현2동,논현동,217.0,1035.0,8261,30.5,69.5,오세훈,3423.0
강남구,대치1동,대치동,395.0,1076.0,11111,19.1,80.9,오세훈,3555.0
강남구,대치2동,대치동,992.0,1076.0,17806,23.4,76.6,오세훈,3555.0
강남구,대치4동,대치동,348.0,1076.0,7661,39.8,60.2,오세훈,3555.0
강남구,도곡1동,도곡동,555.0,1177.0,10485,31.5,68.5,오세훈,3891.0
강남구,도곡2동,도곡동,559.0,1177.0,14779,19.5,80.5,오세훈,3891.0
강남구,삼성1동,삼성동,430.0,1210.0,6220,24.8,75.2,오세훈,4000.0
강남구,삼성2동,삼성동,285.0,1210.0,13974,29.9,70.1,오세훈,4000.0
강남구,세곡동,자곡동+세곡동,1155.0,659.0,22044,45.5,54.5,오세훈,2179.0
강남구,수서동,수서동,441.0,977.0,7945,39.4,60.6,오세훈,3229.0
강남구,신사동,압구정동+신사동,333.0,905.0,7568,21.6,78.4,오세훈,2990.0
강남구,압구정동,압구정동+신사동,487.0,904.0,12688,14.0,86.0,오세훈,2988.0
강남구,역삼1동,역삼동,661.0,1367.0,12714,39.2,60.8,오세훈,4520.0
강남구,역삼2동,역삼동,315.0,1367.0,15904,32.9,67.1,오세훈,4520.0
강남구,일원1동,일원동+수서동,254.0,1057.0,6828,41.4,58.6,오세훈,3493.0
강남구,일원본동,일원동+수서동,648.0,1039.0,11488,35.0,65.0,오세훈,3435.0
강남구,청담동,청담동,592.0,1187.0,11999,23.0,77.0,오세훈,3924.0
강동구,강일동,강일동,858.0,525.0,17541,54.4,45.6,정원오,1734.0
강동구,고덕제1동,고덕동,572.0,1048.0,11577,46.1,53.9,오세훈,3464.0
강동구,고덕제2동,고덕동+강일동,950.0,982.0,12458,42.0,58.0,오세훈,3247.0
강동구,길동,길동,479.0,680.0,22690,47.7,52.3,오세훈,2249.0
강동구,둔촌제1동,둔촌동,165.0,801.0,18429,35.1,64.9,오세훈,2647.0
강동구,둔촌제2동,둔촌동,285.0,801.0,13098,45.7,54.3,오세훈,2647.0
강동구,명일제1동,명일동,436.0,670.0,12901,41.1,58.9,오세훈,2214.0
강동구,명일제2동,명일동,630.0,670.0,8891,39.7,60.3,오세훈,2214.0
강동구,상일제1동,상일동,877.0,976.0,19335,43.9,56.1,오세훈,3226.0
강동구,상일제2동,상일동+강일동,502.0,877.0,6469,56.1,43.9,정원오,2898.0
강동구,성내제1동,성내동,171.0,784.0,9820,48.4,51.6,오세훈,2591.0
강동구,성내제2동,성내동,162.0,784.0,11994,49.1,50.9,오세훈,2591.0
강동구,성내제3동,성내동,168.0,784.0,11230,50.7,49.3,정원오,2591.0
강동구,암사제1동,암사동,153.0,803.0,15007,50.0,50.0,오세훈,2654.0
강동구,암사제2동,암사동,451.0,803.0,8854,47.3,52.7,오세훈,2654.0
강동구,암사제3동,암사동,373.0,803.0,9646,44.7,55.3,오세훈,2654.0
강동구,천호제1동,천호동,143.0,766.0,11675,49.9,50.1,오세훈,2532.0
강동구,천호제2동,천호동,374.0,766.0,17120,48.3,51.7,오세훈,2532.0
강동구,천호제3동,천호동,109.0,766.0,12716,46.4,53.6,오세훈,2532.0
강북구,미아동,미아동,172.0,613.0,10336,56.1,43.9,정원오,2028.0
강북구,번1동,번동,69.0,471.0,7839,54.7,45.3,정원오,1557.0
강북구,번2동,번동,112.0,471.0,6961,53.6,46.4,정원오,1557.0
강북구,번3동,번동,122.0,471.0,7929,52.4,47.6,정원오,1557.0
강북구,삼각산동,미아동,123.0,613.0,15024,54.8,45.2,정원오,2028.0
강북구,삼양동,미아동,193.0,613.0,11358,54.9,45.1,정원오,2028.0
강북구,송중동,미아동,219.0,613.0,12236,51.7,48.3,정원오,2028.0
강북구,송천동,미아동,195.0,613.0,11229,54.1,45.9,정원오,2028.0
강북구,수유1동,수유동,37.0,518.0,8935,56.7,43.3,정원오,1712.0
강북구,수유2동,수유동,13.0,518.0,9954,51.9,48.1,정원오,1712.0
강북구,수유3동,수유동,16.0,518.0,9303,51.8,48.2,정원오,1712.0
강북구,우이동,수유동+우이동,61.0,496.0,9331,54.6,45.4,정원오,1639.0
강북구,인수동,수유동,63.0,518.0,12583,54.5,45.5,정원오,1712.0
강서구,가양제1동,마곡동+가양동,2010.0,738.0,15094,46.1,53.9,오세훈,2440.0
강서구,가양제2동,가양동,242.0,667.0,7841,48.8,51.2,오세훈,2204.0
강서구,가양제3동,가양동,203.0,667.0,7911,49.0,51.0,오세훈,2204.0
강서구,공항동,공항동,19.0,517.0,12943,53.1,46.9,정원오,1709.0
강서구,등촌제1동,등촌동,272.0,677.0,12184,50.5,49.5,정원오,2239.0
강서구,등촌제2동,등촌동,364.0,677.0,9643,48.1,51.9,오세훈,2239.0
강서구,등촌제3동,등촌동,427.0,677.0,15418,49.3,50.7,오세훈,2239.0
강서구,발산제1동,내발산동,545.0,684.0,17406,57.5,42.5,정원오,2262.0
강서구,방화제1동,방화동+마곡동,323.0,647.0,20129,50.9,49.1,정원오,2137.0
강서구,방화제2동,방화동,257.0,578.0,11330,49.6,50.4,오세훈,1911.0
강서구,방화제3동,방화동,489.0,578.0,11487,49.5,50.5,오세훈,1911.0
강서구,염창동,염창동,829.0,706.0,20842,51.3,48.7,정원오,2335.0
강서구,우장산동,내발산동+화곡동,382.0,690.0,19571,48.3,51.7,오세훈,2283.0
강서구,화곡본동,화곡동,166.0,704.0,13067,56.3,43.7,정원오,2328.0
강서구,화곡제1동,화곡동,201.0,704.0,20060,53.7,46.3,정원오,2328.0
강서구,화곡제2동,화곡동,77.0,704.0,7323,56.7,43.3,정원오,2328.0
강서구,화곡제3동,화곡동,87.0,704.0,10686,47.6,52.4,오세훈,2328.0
강서구,화곡제4동,화곡동,144.0,704.0,8878,56.3,43.7,정원오,2328.0
강서구,화곡제6동,화곡동,174.0,704.0,12544,51.3,48.7,정원오,2328.0
강서구,화곡제8동,화곡동,97.0,704.0,11500,59.1,40.9,정원오,2328.0
관악구,낙성대동,봉천동,572.0,706.0,8230,49.3,50.7,오세훈,2334.0
관악구,난곡동,신림동,50.0,549.0,11062,56.2,43.8,정원오,1816.0
관악구,난향동,신림동,38.0,549.0,7327,55.8,44.2,정원오,1816.0
관악구,남현동,봉천동+남현동,167.0,704.0,8827,49.4,50.6,오세훈,2327.0
관악구,대학동,신림동,416.0,549.0,11168,50.7,49.3,정원오,1816.0
관악구,미성동,신림동,66.0,549.0,13735,51.3,48.7,정원오,1816.0
관악구,보라매동,봉천동,191.0,706.0,10935,53.1,46.9,정원오,2334.0
관악구,삼성동,신림동,128.0,549.0,10737,54.3,45.7,정원오,1816.0
