자치구,행정동,기준_법정동,표본수_추정,매매_㎡당_중위만원_가중,유효투표수,정원오_양자%,오세훈_양자%,우세후보,평당_만원
강남구,개포1동,개포동,506.0,3389.0,13962,28.1,71.9,오세훈,11202.0
강남구,개포2동,개포동+일원동,456.0,3320.0,18018,27.9,72.1,오세훈,10974.0
강남구,개포3동,일원동+개포동,284.0,3035.0,8565,35.4,64.6,오세훈,10034.0
강남구,개포4동,개포동,458.0,3389.0,11276,38.3,61.7,오세훈,11202.0
강남구,논현1동,논현동,205.0,2173.0,7786,37.7,62.3,오세훈,7185.0
강남구,논현2동,논현동,238.0,2173.0,8261,30.5,69.5,오세훈,7185.0
강남구,대치1동,대치동,265.0,3242.0,11111,19.1,80.9,오세훈,10717.0
강남구,대치2동,대치동,664.0,3242.0,17806,23.4,76.6,오세훈,10717.0
강남구,대치4동,대치동,233.0,3242.0,7661,39.8,60.2,오세훈,10717.0
강남구,도곡1동,도곡동,657.0,2643.0,10485,31.5,68.5,오세훈,8736.0
강남구,도곡2동,도곡동,662.0,2643.0,14779,19.5,80.5,오세훈,8736.0
강남구,삼성1동,삼성동,436.0,3064.0,6220,24.8,75.2,오세훈,10127.0
강남구,삼성2동,삼성동,290.0,3064.0,13974,29.9,70.1,오세훈,10127.0
강남구,세곡동,자곡동+세곡동,672.0,1931.0,22044,45.5,54.5,오세훈,6382.0
강남구,수서동,수서동,451.0,2545.0,7945,39.4,60.6,오세훈,8414.0
강남구,신사동,압구정동+신사동,313.0,4221.0,7568,21.6,78.4,오세훈,13954.0
강남구,압구정동,압구정동+신사동,457.0,4282.0,12688,14.0,86.0,오세훈,14154.0
강남구,역삼1동,역삼동,736.0,2880.0,12714,39.2,60.8,오세훈,9520.0
강남구,역삼2동,역삼동,351.0,2880.0,15904,32.9,67.1,오세훈,9520.0
강남구,일원1동,일원동+수서동,236.0,2664.0,6828,41.4,58.6,오세훈,8808.0
강남구,일원본동,일원동+수서동,617.0,2636.0,11488,35.0,65.0,오세훈,8714.0
강남구,청담동,청담동,552.0,2530.0,11999,23.0,77.0,오세훈,8363.0
강동구,강일동,강일동,404.0,1327.0,17541,54.4,45.6,정원오,4386.0
강동구,고덕제1동,고덕동,667.0,2056.0,11577,46.1,53.9,오세훈,6795.0
강동구,고덕제2동,고덕동+강일동,1024.0,2016.0,12458,42.0,58.0,오세훈,6663.0
강동구,길동,길동,1139.0,1075.0,22690,47.7,52.3,오세훈,3554.0
강동구,둔촌제1동,둔촌동,283.0,1401.0,18429,35.1,64.9,오세훈,4632.0
강동구,둔촌제2동,둔촌동,490.0,1401.0,13098,45.7,54.3,오세훈,4632.0
강동구,명일제1동,명일동,538.0,1737.0,12901,41.1,58.9,오세훈,5742.0
강동구,명일제2동,명일동,777.0,1737.0,8891,39.7,60.3,오세훈,5742.0
강동구,상일제1동,상일동,1071.0,1918.0,19335,43.9,56.1,오세훈,6342.0
강동구,상일제2동,상일동+강일동,530.0,1860.0,6469,56.1,43.9,정원오,6150.0
강동구,성내제1동,성내동,288.0,1236.0,9820,48.4,51.6,오세훈,4084.0
강동구,성내제2동,성내동,272.0,1236.0,11994,49.1,50.9,오세훈,4084.0
강동구,성내제3동,성내동,282.0,1236.0,11230,50.7,49.3,정원오,4084.0
강동구,암사제1동,암사동,246.0,1565.0,15007,50.0,50.0,오세훈,5174.0
강동구,암사제2동,암사동,724.0,1565.0,8854,47.3,52.7,오세훈,5174.0
강동구,암사제3동,암사동,598.0,1565.0,9646,44.7,55.3,오세훈,5174.0
강동구,천호제1동,천호동,271.0,1163.0,11675,49.9,50.1,오세훈,3845.0
강동구,천호제2동,천호동,707.0,1163.0,17120,48.3,51.7,오세훈,3845.0
강동구,천호제3동,천호동,207.0,1163.0,12716,46.4,53.6,오세훈,3845.0
강북구,미아동,미아동,424.0,952.0,10336,56.1,43.9,정원오,3147.0
강북구,번1동,번동,126.0,835.0,7839,54.7,45.3,정원오,2759.0
강북구,번2동,번동,207.0,835.0,6961,53.6,46.4,정원오,2759.0
강북구,번3동,번동,225.0,835.0,7929,52.4,47.6,정원오,2759.0
강북구,삼각산동,미아동,302.0,952.0,15024,54.8,45.2,정원오,3147.0
강북구,삼양동,미아동,474.0,952.0,11358,54.9,45.1,정원오,3147.0
강북구,송중동,미아동,539.0,952.0,12236,51.7,48.3,정원오,3147.0
강북구,송천동,미아동,480.0,952.0,11229,54.1,45.9,정원오,3147.0
강북구,수유1동,수유동,99.0,733.0,8935,56.7,43.3,정원오,2422.0
강북구,수유2동,수유동,35.0,733.0,9954,51.9,48.1,정원오,2422.0
강북구,수유3동,수유동,43.0,733.0,9303,51.8,48.2,정원오,2422.0
강북구,우이동,수유동+우이동,160.0,680.0,9331,54.6,45.4,정원오,2248.0
강북구,인수동,수유동,167.0,733.0,12583,54.5,45.5,정원오,2422.0
강서구,가양제1동,마곡동+가양동,1870.0,1539.0,15094,46.1,53.9,오세훈,5087.0
강서구,가양제2동,가양동,276.0,1473.0,7841,48.8,51.2,오세훈,4869.0
강서구,가양제3동,가양동,231.0,1473.0,7911,49.0,51.0,오세훈,4869.0
강서구,공항동,공항동,108.0,1247.0,12943,53.1,46.9,정원오,4121.0
강서구,등촌제1동,등촌동,441.0,1190.0,12184,50.5,49.5,정원오,3934.0
강서구,등촌제2동,등촌동,591.0,1190.0,9643,48.1,51.9,오세훈,3934.0
강서구,등촌제3동,등촌동,693.0,1190.0,15418,49.3,50.7,오세훈,3934.0
강서구,발산제1동,내발산동,642.0,1321.0,17406,57.5,42.5,정원오,4366.0
강서구,방화제1동,방화동+마곡동,403.0,1129.0,20129,50.9,49.1,정원오,3733.0
강서구,방화제2동,방화동,377.0,1002.0,11330,49.6,50.4,오세훈,3312.0
강서구,방화제3동,방화동,716.0,1002.0,11487,49.5,50.5,오세훈,3312.0
강서구,염창동,염창동,1461.0,1202.0,20842,51.3,48.7,정원오,3974.0
강서구,우장산동,내발산동+화곡동,530.0,1191.0,19571,48.3,51.7,오세훈,3936.0
강서구,화곡본동,화곡동,308.0,1007.0,13067,56.3,43.7,정원오,3329.0
강서구,화곡제1동,화곡동,373.0,1007.0,20060,53.7,46.3,정원오,3329.0
강서구,화곡제2동,화곡동,144.0,1007.0,7323,56.7,43.3,정원오,3329.0
강서구,화곡제3동,화곡동,162.0,1007.0,10686,47.6,52.4,오세훈,3329.0
강서구,화곡제4동,화곡동,267.0,1007.0,8878,56.3,43.7,정원오,3329.0
강서구,화곡제6동,화곡동,324.0,1007.0,12544,51.3,48.7,정원오,3329.0
강서구,화곡제8동,화곡동,181.0,1007.0,11500,59.1,40.9,정원오,3329.0
관악구,낙성대동,봉천동,995.0,1158.0,8230,49.3,50.7,오세훈,3828.0
관악구,난곡동,신림동,97.0,865.0,11062,56.2,43.8,정원오,2860.0
관악구,난향동,신림동,73.0,865.0,7327,55.8,44.2,정원오,2860.0
관악구,남현동,남현동+봉천동,345.0,1039.0,8827,49.4,50.6,오세훈,3436.0
관악구,대학동,신림동,795.0,865.0,11168,50.7,49.3,정원오,2860.0
관악구,미성동,신림동,126.0,865.0,13735,51.3,48.7,정원오,2860.0
관악구,보라매동,봉천동,332.0,1158.0,10935,53.1,46.9,정원오,3828.0
관악구,삼성동,신림동,246.0,865.0,10737,54.3,45.7,정원오,2860.0
관악구,서림동,신림동,71.0,865.0,9542,48.3,51.7,오세훈,2860.0
관악구,서원동,신림동,60.0,865.0,9652,50.7,49.3,정원오,2860.0
관악구,성현동,봉천동,300.0,1158.0,15058,52.4,47.6,정원오,3828.0
관악구,신림동,신림동,48.0,865.0,9190,50.4,49.6,정원오,2860.0
관악구,신사동,신림동,58.0,865.0,10321,53.3,46.7,정원오,2860.0
관악구,신원동,신림동,55.0,865.0,8088,52.0,48.0,정원오,2860.0
관악구,은천동,봉천동,327.0,1158.0,15606,54.6,45.4,정원오,3828.0
관악구,인헌동,봉천동,310.0,1158.0,13754,54.3,45.7,정원오,3828.0
관악구,조원동,신림동,61.0,865.0,9416,52.0,48.0,정원오,2860.0
관악구,중앙동,봉천동,169.0,1158.0,7419,53.8,46.2,정원오,3828.0
관악구,청룡동,봉천동,532.0,1158.0,16743,50.4,49.6,정원오,3828.0
관악구,청림동,봉천동,133.0,1158.0,7940,52.0,48.0,정원오,3828.0
관악구,행운동,봉천동,318.0,1158.0,13630,51.4,48.6,정원오,3828.0
광진구,광장동,광장동,1146.0,1857.0,16461,43.3,56.7,오세훈,6138.0
광진구,구의제1동,구의동,167.0,1767.0,11644,50.6,49.4,정원오,5840.0
광진구,구의제2동,구의동,394.0,1767.0,12446,52.1,47.9,정원오,5840.0
광진구,구의제3동,구의동,310.0,1767.0,15323,44.0,56.0,오세훈,5840.0
광진구,군자동,군자동,88.0,1137.0,8787,51.2,48.8,정원오,3757.0
광진구,능동,능동,2.0,891.0,5670,51.6,48.4,정원오,2944.0
광진구,자양제1동,자양동,187.0,1667.0,11412,51.3,48.7,정원오,5510.0
광진구,자양제2동,자양동,524.0,1667.0,12373,45.4,54.6,오세훈,5510.0
광진구,자양제3동,자양동,379.0,1667.0,14507,42.5,57.5,오세훈,5510.0
광진구,자양제4동,자양동,383.0,1667.0,10649,45.9,54.1,오세훈,5510.0
광진구,중곡제1동,중곡동,29.0,892.0,7463,52.8,47.2,정원오,2950.0
광진구,중곡제2동,중곡동,27.0,892.0,9943,53.4,46.6,정원오,2950.0
광진구,중곡제3동,중곡동,29.0,892.0,7688,52.4,47.6,정원오,2950.0
광진구,중곡제4동,중곡동,111.0,892.0,14193,52.9,47.1,정원오,2950.0
광진구,화양동,화양동,236.0,1176.0,9948,46.2,53.8,오세훈,3888.0
구로구,가리봉동,가리봉동,13.0,601.0,3567,52.9,47.1,정원오,1987.0
구로구,개봉제1동,개봉동,666.0,938.0,16354,51.1,48.9,정원오,3101.0
구로구,개봉제2동,개봉동,467.0,938.0,16257,50.9,49.1,정원오,3101.0
구로구,개봉제3동,개봉동,475.0,938.0,9117,52.8,47.2,정원오,3101.0
구로구,고척제1동,고척동,510.0,868.0,13950,51.7,48.3,정원오,2869.0
구로구,고척제2동,고척동,451.0,868.0,12287,52.0,48.0,정원오,2869.0
구로구,구로제1동,구로동,574.0,941.0,10725,52.5,47.5,정원오,3110.0
구로구,구로제2동,구로동,923.0,941.0,9619,53.2,46.8,정원오,3110.0
구로구,구로제3동,구로동,575.0,941.0,11114,57.5,42.5,정원오,3110.0
구로구,구로제4동,구로동,290.0,941.0,8105,54.1,45.9,정원오,3110.0
구로구,구로제5동,구로동,549.0,941.0,14257,51.7,48.3,정원오,3110.0
구로구,수궁동,온수동+궁동,140.0,887.0,11383,46.4,53.6,오세훈,2933.0
구로구,신도림동,신도림동,1149.0,1380.0,19004,47.8,52.2,오세훈,4561.0
구로구,오류제1동,오류동,171.0,750.0,11695,50.8,49.2,정원오,2479.0
구로구,오류제2동,오류동+천왕동,510.0,788.0,17399,52.8,47.2,정원오,2606.0
구로구,항동,항동,357.0,995.0,8184,59.1,40.9,정원오,3290.0
금천구,가산동,가산동,217.0,836.0,11486,54.0,46.0,정원오,2765.0
금천구,독산제1동,독산동,533.0,930.0,21468,51.2,48.8,정원오,3075.0
금천구,독산제2동,독산동,167.0,930.0,7444,54.3,45.7,정원오,3075.0
금천구,독산제3동,독산동,255.0,930.0,10817,55.1,44.9,정원오,3075.0
금천구,독산제4동,독산동,173.0,930.0,6921,56.5,43.5,정원오,3075.0
금천구,시흥제1동,시흥동,258.0,716.0,14273,52.0,48.0,정원오,2368.0
금천구,시흥제2동,시흥동,207.0,716.0,10402,53.8,46.2,정원오,2368.0
금천구,시흥제3동,시흥동,237.0,716.0,5428,53.4,46.6,정원오,2368.0
금천구,시흥제4동,시흥동,137.0,716.0,9028,53.7,46.3,정원오,2368.0
금천구,시흥제5동,시흥동,255.0,716.0,8582,53.4,46.6,정원오,2368.0
노원구,공릉1동,공릉동,313.0,928.0,18115,53.5,46.5,정원오,3068.0
노원구,공릉2동,공릉동,1841.0,928.0,20255,51.7,48.3,정원오,3068.0
