시도,자치구,행정동,선거인수,투표수,더불어민주당 정원오,국민의힘 오세훈,개혁신당 김정철,여성의당 유지혜,정의당 권영국,유효투표수
서울특별시,종로구,청운효자동,9091,5977,3129,2574,44,49,111,5907
서울특별시,종로구,사직동,7314,4315,1695,2449,33,42,55,4274
서울특별시,종로구,삼청동,1725,1049,467,553,5,4,13,1042
서울특별시,종로구,부암동,7226,4432,2210,2064,29,26,68,4397
서울특별시,종로구,평창동,14007,8519,3625,4644,51,42,96,8458
서울특별시,종로구,무악동,6177,4352,2062,2129,29,37,53,4310
서울특별시,종로구,교남동,7802,5278,2377,2707,39,33,78,5234
서울특별시,종로구,가회동,3079,1904,1005,836,15,13,19,1888
서울특별시,종로구,종로1·2·3·4가동,5657,2855,1215,1521,27,19,32,2814
서울특별시,종로구,종로5·6가동,4552,2414,1092,1229,18,19,23,2381
서울특별시,종로구,이화동,6207,3629,1843,1594,29,45,61,3572
서울특별시,종로구,혜화동,13728,8349,4033,3817,111,129,156,8246
서울특별시,종로구,창신제1동,4449,2874,1592,1183,16,16,22,2829
서울특별시,종로구,창신제2동,6348,3735,2044,1581,15,19,23,3682
서울특별시,종로구,창신제3동,5157,3310,1674,1540,15,20,35,3284
서울특별시,종로구,숭인제1동,4815,2827,1473,1273,10,15,25,2796
서울특별시,종로구,숭인제2동,8969,4867,2524,2128,45,53,52,4802
서울특별시,중구,소공동,1917,1136,478,609,10,10,21,1128
서울특별시,중구,회현동,3645,2032,778,1183,18,13,15,2007
서울특별시,중구,명동,1955,991,421,541,7,4,6,979
서울특별시,중구,필동,3931,2290,975,1228,20,19,24,2266
서울특별시,중구,장충동,4064,2246,992,1138,27,24,26,2207
서울특별시,중구,광희동,4775,2526,941,1495,22,21,16,2495
서울특별시,중구,을지로동,2734,1663,677,932,14,6,22,1651
서울특별시,중구,신당동,6422,3518,1648,1723,26,41,28,3466
서울특별시,중구,다산동,10579,6128,2933,2964,51,40,63,6051
서울특별시,중구,약수동,13385,8795,3891,4606,74,46,71,8688
서울특별시,중구,청구동,8896,6053,2636,3212,49,40,48,5985
서울특별시,중구,신당제5동,8583,5198,2648,2369,39,38,42,5136
서울특별시,중구,동화동,8118,5483,2602,2728,36,34,29,5429
서울특별시,중구,황학동,11478,6592,3132,3230,51,50,43,6506
서울특별시,중구,중림동,9736,6337,2874,3241,51,51,68,6285
서울특별시,용산구,후암동,12758,7604,3663,3644,51,60,94,7512
서울특별시,용산구,용산2가동,7508,4161,2013,1983,25,22,68,4111
서울특별시,용산구,남영동,5998,2965,1336,1512,18,19,34,2919
서울특별시,용산구,청파동,15792,8674,4104,4062,78,207,130,8581
서울특별시,용산구,원효로제1동,14089,8778,3564,4878,69,88,113,8712
서울특별시,용산구,원효로제2동,10890,6904,2873,3784,47,66,78,6848
서울특별시,용산구,효창동,8628,5728,2565,2953,42,53,77,5690
서울특별시,용산구,용문동,9468,6286,2856,3206,40,48,72,6222
서울특별시,용산구,한강로동,17117,10348,3069,6983,51,64,100,10267
서울특별시,용산구,이촌제1동,20003,13292,3401,9563,91,77,89,13221
서울특별시,용산구,이촌제2동,6548,4518,1555,2844,21,16,33,4469
서울특별시,용산구,이태원제1동,4846,2573,830,1661,17,19,18,2545
서울특별시,용산구,이태원제2동,7261,3973,1646,2185,24,23,47,3925
서울특별시,용산구,한남동,11291,5766,1587,4053,23,22,31,5716
서울특별시,용산구,서빙고동,9478,5581,1575,3850,37,33,30,5525
서울특별시,용산구,보광동,4947,2911,1193,1617,19,16,30,2875
서울특별시,성동구,금호1가동,11225,7225,3664,3420,38,28,23,7173
서울특별시,성동구,금호2·3가동,16802,10731,5399,5108,49,41,49,10646
서울특별시,성동구,금호4가동,11804,7772,3803,3825,39,18,25,7710
서울특별시,성동구,옥수동,20559,13402,5436,7719,71,44,47,13317
서울특별시,성동구,왕십리도선동,20538,13048,6477,6269,84,72,56,12958
서울특별시,성동구,왕십리제2동,13396,8885,5038,3672,36,26,44,8816
서울특별시,성동구,행당제1동,12928,8451,4110,4140,57,34,44,8385
서울특별시,성동구,행당제2동,17696,12139,6242,5637,57,53,55,12044
서울특별시,성동구,마장동,18168,11571,6213,5020,72,72,66,11443
서울특별시,성동구,사근동,10388,5520,2580,2678,67,67,39,5431
서울특별시,성동구,송정동,7821,4566,2507,1948,35,21,21,4532
서울특별시,성동구,용답동,11517,6492,3531,2739,52,39,50,6411
서울특별시,성동구,응봉동,11397,7514,3915,3465,24,22,34,7460
서울특별시,성동구,성수1가제1동,12154,7324,3095,4073,32,41,27,7268
서울특별시,성동구,성수1가제2동,12685,8556,4101,4268,49,38,40,8496
서울특별시,성동구,성수2가제1동,11811,7168,3318,3689,40,23,20,7090
서울특별시,성동구,성수2가제3동,8195,5309,2494,2683,39,30,37,5283
서울특별시,광진구,중곡제1동,12993,7580,3819,3418,67,73,86,7463
